city,year,price
Тараз,2022,1853.0
Астана,2023,4815.0
Алматы,2023,5549.0
Шымкент,2023,2881.0
Актау,2023,3335.0
Актобе,2023,2415.0
Атырау,2023,3054.0
Жезказган,2023,3543.0
Кокшетау,2023,2743.0
Караганда,2023,3790.0
Конаев,2023,3951.0
Костанай,2023,2591.0
Кызылорда,2023,2283.0
Уральск,2023,2491.0
Усть-Каменогорск,2023,2666.0
Павлодар,2023,2464.0
Петропавловск,2023,2708.0
Семей,2023,2422.0
Талдыкорган,2023,2604.0
Тараз,2023,2014.0
